Name;Birth;Party;District;Other terms;Race;White;Hispanic;Black;Asian;Female;Function;Beginning term;End of term;End Type;Exit;Next occupation
Statham, Stan;04/07/1939;R;1;;W;1;0;0;0;0;;12/06/1982;11/30/1984;On time;Reelection;Reelected
Hauser, Dan;06/18/1942;D;2;;W;1;0;0;0;0;;12/06/1982;11/30/1984;On time;Reelection;Reelected
Herger, Wally;05/20/1945;R;3;;W;1;0;0;0;0;;12/06/1982;11/30/1984;On time;Reelection;Reelected
Hannigan, Thomas M.;05/30/1940;D;4;;W;1;0;0;0;0;;12/06/1982;11/30/1984;On time;Reelection;Reelected
Duffy, Jean Moorehead;12/17/1938;D;5;;W;1;0;0;0;1;;12/06/1982;11/30/1984;On time;Reelection;Reelected
Connelly, Lloyd G.;12/31/1945;D;6;;W;1;0;0;0;0;;12/06/1982;11/30/1984;On time;Reelection;Reelected
Waters, Norman S.;07/01/1925;D;7;;W;1;0;0;0;0;;12/06/1982;11/30/1984;On time;Reelection;Reelected
Sebastiani, Don;02/15/1953;R;8;;W;1;0;0;0;0;;12/06/1982;11/30/1984;On time;Reelection;Reelected
"Filante, William J. ""Bill""";10/22/1929;R;9;;W;1;0;0;0;0;;12/06/1982;11/30/1984;On time;Reelection;Reelected
Isenberg, Phillip;25/02/1939;D;10;;W;1;0;0;0;0;;12/06/1982;11/30/1984;On time;Reelection;
"Campbell, Robert J. ""Bob""";12/20/1937;D;11;;W;1;0;0;0;0;;12/06/1982;11/30/1984;On time;Reelection;Reelected
Bates, Tom;02/09/1938;D;12;;W;1;0;0;0;0;;12/06/1982;11/30/1984;On time;Reelection;Reelected
Harris, Elihu M.;08/15/1947;D;13;;B;0;0;1;0;0;;12/06/1982;11/30/1984;On time;Reelection;Reelected
Klehs, Johan;1952;D;14;;W;1;0;0;0;0;;12/06/1982;11/30/1984;On time;Reelection;Reelected
Baker, William P. (Bill);06/14/1940;R;15;;W;1;0;0;0;0;;12/06/1982;11/30/1984;On time;Reelection;Reelected
Agnos, Art;09/01/1938;D;16;;W;1;0;0;0;0;;12/06/1982;11/30/1984;On time;Reelection;Reelected
Brown, Willie L. Jr.;03/20/1934;D;17;;B;0;0;1;0;0;;12/06/1982;11/30/1984;On time;Reelection;Reelected
McAlister, Alister;11/10/1929;D;18;;W;1;0;0;0;0;;12/06/1982;11/30/1984;On time;Reelection;Reelected
Papan, Louis;08/02/1928;D;19;;W;1;0;0;0;0;;12/01/1982;11/30/1984;On time;Reelection;Reelected
Naylor, Robert W.;01/21/1944;R;20;;W;1;0;0;0;0;;12/06/1982;11/30/1984;On time;Reelection;Reelected
Sher, Byron;02/07/1928;D;21;;W;1;0;0;0;0;;12/06/1982;11/30/1984;On time;Reelection;Reelected
Konnyu, Ernest L.;05/17/1937;R;22;;W;1;0;0;0;0;;12/06/1982;11/30/1984;On time;Reelection;Reelected
Vasconcellos, John;05/11/1932;D;23;;H;0;1;0;0;0;;12/06/1982;11/30/1984;On time;Reelection;Reelected
"Cortese, Dominic L. ""Dom""";09/27/1932;D;24;;W;1;0;0;0;0;;12/06/1982;11/30/1984;On time;Reelection;Reelected
Areias, Rusty;09/12/1949;D;25;;W;1;0;0;0;0;;12/06/1982;11/30/1984;On time;Reelection;Reelected
Johnston, Pat;09/03/1946;D;26;;W;1;0;0;0;0;;12/06/1982;11/30/1984;On time;Reelection;Reelected
Condit, Gary A.;04/21/1948;D;27;;W;1;0;0;0;0;;12/06/1982;11/30/1984;On time;Reelection;Reelected
Farr, Sam;07/04/1941;D;28;;W;1;0;0;0;0;;12/06/1982;11/30/1984;On time;Reelection;Reelected
Seastrand, Eric;02/07/1938;R;29;;W;1;0;0;0;0;;12/06/1982;11/30/1984;On time;Reelection;Reelected
Costa, Jim;04/13/1952;D;30;;W;1;0;0;0;0;;12/06/1982;11/30/1984;On time;Reelection;Reelected
