Term,Beginning,Ending
1978,12/04/1978,11/30/1982
1980,12/01/1980,11/30/1984
1982,12/06/1982,11/30/1986
1984,12/03/1984,11/30/1988
1986,12/01/1986,11/30/1990
1988,12/05/1988,11/30/1992
1990,12/03/1990,11/30/1994
1992,12/07/1992,11/30/1996
1994,12/05/1994,11/30/1998
1996,12/02/1996,11/30/2000
1998,12/07/1998,11/30/2002
2000,12/04/2000,11/30/2004
2002,12/02/2002,11/30/2006
2004,12/06/2004,08/31/2008
2006,12/04/2006,11/30/2010
2008,12/01/2008,11/30/2012
2010,12/06/2010,11/30/2014
2012,12/03/2012,11/30/2016
2014,12/01/2014,11/30/2018
2016,12/05/2016,11/30/2020
2018,12/03/2018,NA
2020,12/07/2020,NA
