Name;Birth;Party;District;Other terms;Race;White;Hispanic;Black;Asian;Female;Function;Beginning term;End of term;End Type;Exit;Next occupation
Aghazarian, Greg;09/10/1964;R;26;;W;1;0;0;0;0;;12/02/2002;11/30/2004;On time;Reelection;Reelected
Bates, Patricia;12/15/1939;R;73;S-CC-M;W;1;0;0;0;1;;12/02/2002;11/30/2004;On time;Termed Out;BS candidate
Benoit, John J.;12/27/1951;R;64;S-CC;W;1;0;0;0;0;;12/02/2002;11/30/2004;On time;Reelection;Reelected
Berg, Patty;06/06/1942;D;1;;W;1;0;0;0;1;;12/02/2002;11/30/2004;On time;Reelection;Reelected
Bermudez, Rudy;;D;56;;;;;;;;;12/02/2002;11/30/2004;On time;Reelection;Reelected
Bogh, Russ;;R;65;;W;1;0;0;0;0;;12/02/2002;11/30/2004;On time;Reelection;Reelected
Calderon, Ronald S.;08/12/1957;D;58;S;H;0;1;0;0;0;;12/02/2002;11/30/2004;On time;Reelection;Reelected
Campbell, John;07/19/1955;R;70;USR - S;W;1;0;0;0;0;;12/02/2002;11/30/2004;On time;Termed out;State Senate candidate
Canciamilla, Joseph;;D;11;CC-M;H;0;1;0;0;0;;12/02/2002;11/30/2004;On time;Reelection;Reelected
Chan, Wilma;10/05/1949;D;16;CC;A;0;0;0;1;1;Assembly Majority Whip;12/02/2002;11/30/2004;On time;Reelection;Reelected
Chavez, Edward;;D;57;;H;0;1;0;0;0;;12/02/2002;11/30/2004;On time;Reelection;Reelected
Chu, Judy;07/07/1953;D;49;USR-CC-M;A;0;0;0;1;1;;12/02/2002;11/30/2004;On time;Reelection;Reelected
Cogdill, Dave;12/31/1950;R;25;S;W;1;0;0;0;0;;12/02/2002;11/30/2004;On time;Reelection;Reelected
Cohn, Rebecca;03/30/1954;D;24;;W;1;0;0;0;1;Assistant Majority Leader;12/02/2002;11/30/2004;On time;Reelection;Reelected
Corbett, Ellen;12/31/1954;D;18;S-CC-M;W;1;0;0;0;1;;12/02/2002;11/30/2004;On time;Termed out;State Senate candidate
