Name;Birth;Party;District;Other terms;Race;White;Hispanic;Black;Asian;Female;Function;Beginning term;End of term;End Type;Exit;Next occupation
Dahle, Brian;09/20/1965;R;1;CC;W;1;0;0;0;0;Minority Leader;12/05/2016;11/30/2018;On time;Reelection;Reelected
Wood, Jim;04/10/1960;D;2;M - CC;W;1;0;0;0;0;;12/05/2016;11/30/2018;On time;Reelection;Reelected
Gallagher, James;03/04/1981;R;3;CC;W;1;0;0;0;0;;12/05/2016;11/30/2018;On time;Reelection;Reelected
Aguiar-Curry, Cecilia;09/25/1954;D;4;CC - M;H;0;1;0;0;1;;12/05/2016;11/30/2018;On time;Reelection;Reelected
Bigelow, Frank;07/22/1954;R;5;;W;1;0;0;0;0;;12/05/2016;11/30/2018;On time;Reelection;Reelected
Kiley, Kevin;01/30/1985;R;6;;W;1;0;0;0;0;;12/05/2016;11/30/2018;On time;Reelection;Reelected
McCarty, Kevin;01/06/1972;D;7;CC;W;1;0;0;0;0;;12/05/2016;11/30/2018;On time;Reelection;Reelected
Cooley, Ken;03/18/1953;D;8;CC - M;W;1;0;0;0;0;;12/05/2016;11/30/2018;On time;Reelection;Reelected
Cooper, Jim;01/05/1964;D;9;CC - M;B;0;0;1;0;0;;12/05/2016;11/30/2018;On time;Reelection;Reelected
Levine, Marc;04/26/1974;D;10;CC;W;1;0;0;0;0;;12/05/2016;11/30/2018;On time;Reelection;Reelected
Frazier, Jim;05/04/1959;D;11;CC - M;W;1;0;0;0;0;;12/05/2016;11/30/2018;On time;Reelection;Reelected
Flora, Heath;07/19/1983;R;12;;W;1;0;0;0;0;;12/05/2016;11/30/2018;On time;Reelection;Reelected
Talamantes Eggman, Susan;03/03/1961;D;13;S;H;0;1;0;0;1;;12/05/2016;11/30/2018;On time;Reelection;Reelected
Grayson, Tim;09/17/1967;D;14;CC - M;W;1;0;0;0;0;;12/05/2016;11/30/2018;On time;Reelection;Reelected
Thurmond, Tony;08/21/1968;D;15;CC;B-H;0;1;1;0;0;;12/05/2016;11/30/2018;On time;Not seek reelection;California State Superintendent of Public Instruction
Baker, Catharine;05/01/1971;R;16;;W;1;0;0;0;1;;12/05/2016;11/30/2018;On time;Reelection;Defeated
Chiu, David;04/02/1970;D;17;CC;A;0;0;0;1;0;;12/05/2016;11/30/2018;On time;Reelection;Reelected
Bonta, Rob;09/22/1972;D;18;CC;A;0;0;0;1;0;;12/05/2016;11/30/2018;On time;Reelection;Reelected
Ting, Phil;02/09/1969;D;19;;A;0;0;0;1;0;;12/05/2016;11/30/2018;On time;Reelection;Reelected
Quirk, Bill;09/01/1946;D;20;CC;W;1;0;0;0;0;;12/05/2016;11/30/2018;On time;Reelection;Reelected
Gray, Adam;;D;21;;W;1;0;0;0;0;;12/05/2016;11/30/2018;On time;Reelection;Reelected
Mullin, Kevin;06/15/1970;D;22;CC-M;W;1;0;0;0;0;Speaker Pro Tempore;12/05/2016;11/30/2018;On time;Reelection;Reelected
Patterson, Jim;02/18/1948;R;23;M;W;1;0;0;0;0;;12/05/2016;11/30/2018;On time;Reelection;Reelected
Berman, Marc;10/31/1980;D;24;CC;W;1;0;0;0;0;;12/05/2016;11/30/2018;On time;Reelection;Reelected
Chu, Kansen;10/27/1952;D;25;CC;A;0;0;0;1;0;;12/05/2016;11/30/2018;On time;Reelection;Reelected
Mathis, Devon;09/21/1982;R;26;;W;1;0;0;0;0;;12/05/2016;11/30/2018;On time;Reelection;Reelected
