Name;Birth;Party;District;Other terms;Race;White;Hispanic;Black;Asian;Female;Function;Beginning term;End of term;End Type;Exit;Next occupation
Achadjian, Katcho;06/02/1951;R;33;S-CC;A;0;0;0;1;0;;12/06/2010;11/30/2012;On time;Reelection;Reelected
Alejo, Luis;03/27/1974;D;28;CC-M;H;0;1;0;0;0;;12/06/2010;11/30/2012;On time;Reelection;Reelected
Allen, Michael;01/02/1947;D;7;;W;1;0;0;0;0;;12/06/2010;11/30/2012;On time;Reelection;Defeated
Ammiano, Tom;12/15/1941;D;13;CC;W;1;0;0;0;0;;12/06/2010;11/30/2012;On time;Reelection;Reelected
Atkins, Toni;08/01/21962;D;76;CC;W;1;0;0;0;1;Majority Leader - Speaker;12/06/2010;11/30/2012;On time;Reelection;Reelected
Beall, Jim Jr.;12/07/1951;D;24;S-CC;W;1;0;0;0;0;;12/06/2010;11/30/2012;On time;Termed out;State Senate candidate
Berryhill, Bill;;R;26;;W;1;0;0;0;0;;12/06/2010;11/30/2012;On time;;
Block, Martin;06/28/1950;D;78;S;W;1;0;0;0;0;;12/06/2010;11/30/2012;On time;Not seek reelection;State Senate candidate
Blumenfield, Bob;09/13/1967;D;40;CC;W;1;0;0;0;0;;12/06/2010;11/30/2012;On time;Reelection;Reelected
Bonilla, Susan;06/22/1960;D;11;CC-M;W;1;0;0;0;1;;12/06/2010;11/30/2012;On time;Reelection;Reelected
Bradford, Steven;01/12/1960;D;51;S-CC;B;0;0;1;0;0;;12/06/2010;11/30/2012;On time;Reelection;Reelected
Brownley, Julia;08/28/1952;D;41;USR;W;1;0;0;0;1;;12/06/2010;11/30/2012;On time;Termed out;USR candidate
Buchanan, Joan;10/04/1952;D;15;;W;1;0;0;0;1;;12/06/2010;11/30/2012;On time;Reelection;Reelected
Butler, Besty;06/14/1963;D;53;;W;1;0;0;0;1;;12/06/2010;11/30/2012;On time;Reelection;Defeated
Calderon, Charles M.;03/12/1950;D;58;S;H;0;1;0;0;0;Majority Leader;12/06/2010;11/30/2012;On time;Termed out;California Healthcare Commission
Campos, Nora;06/15/1965;D;23;CC-S;H;0;1;0;0;1;;12/06/2010;11/30/2012;On time;Reelection;Reelected
Carter, Wilmer Amina;07/19/1941;D;62;;B;0;0;1;0;1;;12/06/2010;11/30/2012;On time;Termed out;Business
Cedillo, Gil;3/25/1954;D;45;S-CC;H;0;1;0;0;0;;06/10/2010;11/30/2012;On time;Not seek reelection;CC candidate
Chesbro, Wesley;08/20/1951;D;1;S-CC;W;1;0;0;0;0;;12/06/2010;11/30/2012;On time;Reelection;Reelected
Conway, Connie;09/25/1950;R;34;CC;W;1;0;0;0;1;Minority Leader;12/06/2010;11/30/2012;On time;Reelection;Reelected
Cook, Paul;03/03/1943;R;65;CC-USR;W;1;0;0;0;0;;12/06/2010;11/30/2012;On time;Termed out;USR candidate
Davis, Mike;1957;D;48;;B;0;0;1;0;0;;12/06/2010;11/30/2012;On time;Termed out;President Pro Tem LA Board of Public Works Commission
Dickinson, Roger;09/22/1950;D;9;CC;W;1;0;0;0;0;;12/06/2010;11/30/2012;On time;Reelection;Reelected
Donnelly, Tim;05/09/1966;R;59;;W;1;0;0;0;0;;12/06/2010;11/30/2012;On time;Reelection;Reelected
Eng, Mike;09/14/1946;D;49;CC-M;A;0;0;0;1;0;;12/06/2010;11/30/2012;On time;Termed out;Board if Trustees LA Community College
Feuer, Mike;05/14/1958;D;42;CC;W;1;0;0;0;0;;12/06/2010;11/30/2012;On time;Termed out;City Attorney
Fletcher, Nathan;12/31/1976;R;75;CC;W;1;0;0;0;0;;12/06/2010;11/30/2012;On time;Not seek reelection;BS candidate
Fong, Paul;08/05/1952;D;22;;A;0;0;0;1;0;;12/06/2010;11/30/2012;On time;Reelection;Reelected
Fuentes, Felipe;05/25/1971;D;39;CC;H;0;1;0;0;0;;12/06/2010;11/30/2012;On time;Termed out;CC candidate
Furutani, Warren T. ;10/16/1947;D;55;;A;0;0;0;1;0;;12/06/2010;11/30/2012;On time;;
Gaines, Beth;09/17/1959;R;4;;W;1;0;0;0;1;;05/12/2011;11/30/2012;On time;Reelection;Reelected
Gaines, Ted;04/25/1958;R;4;S-CC;W;1;0;0;0;0;;12/06/2010;01/06/2011;Early;Legislative campaign;State Senate candidate
Galgiani, Cathleen;01/04/1964;D;17;S;W;1;0;0;0;1;;12/06/2010;11/30/2012;On time;Termed out;State Senate candidate
Garrick, Martin;1953;R;74;;W;1;0;0;0;0;;12/06/2010;11/30/2012;On time;Termed out;
Gatto, Mike;10/19/1974;D;43;;W;1;0;0;0;0;Assistant Speaker Pro Tempore;06/10/2010;11/30/2012;On time;Reelection;Reelected
Gordon, Rich;07/03/1948;D;21;CC;W;1;0;0;0;0;;12/06/2010;11/30/2012;On time;Reelection;Reelected
Gorell, Jeff;11/06/1970;R;37;;W;1;0;0;0;0;;12/06/2010;11/30/2012;On time;Reelection;Reelected
Grove, Shannon;3/18/1965;R;32;S;W;1;0;0;0;1;;12/06/2010;11/30/2012;On time;Reelection;Reelected
