Name;Birth;Party;District;Other terms;Race;White;Hispanic;Black;Asian;Female;Function;Beginning term;End of term;End Type;Exit;Next occupation
Adams, Anthony;02/27/1971;R;59;;W;1;0;0;0;0;;12/04/2006;11/30/2008;On time;Reelection;Reelected
Aghazarian, Greg;09/10/1964;R;26;;W;1;0;0;0;0;;12/04/2006;11/30/2008;On time;Termed out;State Senate candidate
Alarcon, Richard;11/24/1953;D;39;CC-S;W;1;0;0;0;0;;12/04/2006;05/17/2007;Early;Local campaign;CC candidate
Anderson, Joel;02/11/1960;R;77;CC-S;W;1;0;0;0;0;;12/04/2006;11/30/2008;On time;Reelection;Reelected
Arambula, Juan;01/29/1952;D;31;CC;H;0;1;0;0;0;;12/04/2006;11/30/2008;On time;Reelection;Reelected
Bass, Karen;10/03/1953;D;47;USR;B;0;0;1;0;1;Speaker;12/04/2006;11/30/2008;On time;Reelection;Reelected
Beall, Jim Jr.;12/07/1951;D;24;S-CC;W;1;0;0;0;0;;12/04/2006;11/30/2008;On time;Reelection;Reelected
Benoit, John J.;12/27/1951;R;64;S-CC;W;1;0;0;0;0;;12/04/2006;11/30/2008;On time;Termed out;State Senate candidate
Berg, Patty;06/06/1942;D;1;;W;1;0;0;0;1;;12/04/2006;11/30/2008;On time;Termed out;
Berryhill, Tom;08/27/1953;R;25;CC-S;W;1;0;0;0;0;;12/04/2006;11/30/2008;On time;Reelection;Reelected
Blakeslee, Sam;06/25/1955;R;33;S;W;1;0;0;0;0;Minority Leader;12/04/2006;11/30/2008;On time;Reelection;Reelected
Brownley, Julia;08/28/1952;D;41;USR;W;1;0;0;0;1;;12/04/2006;11/30/2008;On time;Reelection;Reelected
Caballero, Anna M.;04/18/1955;D;28;S;H;0;1;0;0;1;;12/04/2006;11/30/2008;On time;Reelection;Reelected
Calderon, Charles M.;03/12/1950;D;58;S;H;0;1;0;0;0;Majority Leader;12/04/2006;11/30/2008;On time;Reelection;Reelected
Carter, Wilmer Amina;07/19/1941;D;62;;B;0;0;1;0;1;;12/04/2006;11/30/2008;On time;Reelection;Reelected
Cook, Paul;03/03/1943;R;65;CC-USR;W;1;0;0;0;0;;12/04/2006;11/30/2008;On time;Reelection;Reelected
Coto, Joe;1939;D;23;;H;0;1;0;0;0;;12/04/2006;11/30/2008;On time;Reelection;Reelected
Davis, Mike;1957;D;48;;B;0;0;1;0;0;;12/04/2006;11/30/2008;On time;Reelection;Reelected
De La Torre, Hector;;D;50;CC-M;H;0;1;0;0;0;;12/04/2006;11/30/2008;On time;Reelection;Reelected
De Leon, Kevin;12/10/1966;D;45;CC-S;H;0;1;0;0;0;;12/04/2006;11/30/2008;On time;Reelection;Reelected
DeSaulnier, Mark;03/31/1952;D;11;USR-CC-S;W;1;0;0;0;0;;12/04/2006;11/30/2008;On time;Not seek reelection;State Senate candidate
DeVore, Chuck;05/20/1962;R;70;;W;1;0;0;0;0;;12/04/2006;11/30/2008;On time;Reelection;Reelected
Duvall, Michael D.;06/14/1955;R;72;CC-M;W;1;0;0;0;0;;12/04/2006;11/30/2008;On time;Reelection;Reelected
Dymally, Mervyn;05/12/1926;D;52;S-USR;B;0;0;1;0;0;;12/04/2006;11/30/2008;On time;Termed out;State Senate candidate
Emmerson, Bill;10/28/1945;R;63;S;W;1;0;0;0;0;;12/04/2006;11/30/2008;On time;Reelection;Reelected
Eng, Mike;09/14/1946;D;49;CC-M;A;0;0;0;1;0;;12/04/2006;11/30/2008;On time;Reelection;Reelected
Evans, Noreen;04/22/1955;D;7;S-CC;W;1;0;0;0;1;;12/04/2006;11/30/2008;On time;Reelection;Reelected
Feuer, Mike;05/14/1958;D;42;CC;W;1;0;0;0;0;;12/04/2006;11/30/2008;On time;Reelection;Reelected
Fuentes, Felipe;05/25/1971;D;39;CC;H;0;1;0;0;0;;05/17/2007;11/30/2008;On time;Reelection;Reelected
Fuller, Jean;04/16/1950;R;32;S;W;1;0;0;0;1;;12/04/2006;11/30/2008;On time;Reelection;Reelected
Furutani, Warren T.;10/16/1947;D;55;;A;0;0;0;1;0;;12/04/2006;11/30/2008;On time;Reelection;Reelected
Gaines, Ted;04/25/1958;R;4;S-CC;W;1;0;0;0;0;;12/04/2006;11/30/2008;On time;Reelection;Reelected
Galgiani, Cathleen;01/04/1964;D;17;S;W;1;0;0;0;1;;12/04/2006;11/30/2008;On time;Reelection;Reelected
Garcia, Bonnie;;R;80;;H;0;1;0;0;1;;12/04/2006;11/30/2008;On time;Termed Out;Unemployment Insurance Appeals Board
Garrick, Martin;1953;R;74;;W;1;0;0;0;0;;12/04/2006;11/30/2008;On time;Reelection;Reelected
Hancock, Loni;04/10/1940;D;14;S-M;W;1;0;0;0;1;;12/04/2006;11/30/2008;On time;Termed out;State Senate candidate
Hayashi, Mary;08/13/1967;D;18;;A;0;0;0;1;1;;12/04/2006;11/30/2008;On time;Reelection;Reelected
Hernandez, Edward;10/17/1957;D;57;S;H;0;1;0;0;0;;12/04/2006;11/30/2008;On time;Reelection;Reelected
Horton, Shirley;;R;78;CC-M;A;0;0;0;1;1;;12/04/2006;11/30/2008;On time;Termed Out;State Senate candidate
Houston, Guy S.;1960;R;15;M;W;1;0;0;0;0;;12/04/2006;11/30/2008;On time;Termed out;
Huff, Bob;09/09/1953;R;60;S-CC-M;W;1;0;0;0;0;Republican Caucus Chair;12/04/2006;11/30/2008;On time;Not seek reelection;State Senate candidate
