Name;Birth;Party;District;Other terms;Race;White;Hispanic;Black;Asian;Female;Function;Beginning term;End of term;End Type;Exit;Next occupation
Dahle, Megan;07/29/1975;R;1;;W;1;0;0;0;1;;12/07/2020;;;;
Wood, Jim;04/10/1960;D;2;M;W;1;0;0;0;0;;12/07/2020;;;;
Gallagher, James;03/04/1981;R;3;CC;W;1;0;0;0;0;;12/07/2020;;;;
Aguiar-Curry, Cecilia;09/25/1954;D;4;CC - M;H;0;1;0;0;1;;12/07/2020;;;;
Bigelow, Frank;07/22/1954;R;5;;W;1;0;0;0;0;;12/07/2020;;;;
Kiley, Kevin;01/30/1985;R;6;;W;1;0;0;0;0;;12/07/2020;;;;
McCarty, Kevin;01/06/1972;D;7;CC;W;1;0;0;0;0;;12/07/2020;;;;
Cooley, Ken;03/18/1953;D;8;CC - M;W;1;0;0;0;0;;12/07/2020;;;;
Cooper, Jim;01/05/1964;D;9;CC - M;B;0;0;1;0;0;;12/07/2020;;;;
Levine, Marc;04/26/1974;D;10;CC;W;1;0;0;0;0;;12/07/2020;;;;
Frazier, Jim;05/04/1959;D;11;CC - M;W;1;0;0;0;0;;12/07/2020;;;;
Flora, Heath;07/19/1983;R;12;;W;1;0;0;0;0;;12/07/2020;;;;
Villapudua, Carlos;03/10/1968;D;13;;H;0;1;0;0;0;;12/07/2020;;;;
Grayson, Tim;09/17/1967;D;14;CC - M;W;1;0;0;0;0;;12/07/2020;;;;
Wicks, Buffy;08/10/1977;D;15;;W;1;0;0;0;1;;12/07/2020;;;;
Bauer-Kahan, Rebecca;10/28/1978;D;16;;W;1;0;0;0;1;;12/07/2020;;;;
Chiu, David;04/02/1970;D;17;CC;A;0;0;0;1;0;;12/07/2020;;;;
Bonta, Rob;09/22/1972;D;18;CC;A;0;0;0;1;0;;12/07/2020;;;;
Ting, Phil;02/09/1969;D;19;;A;0;0;0;1;0;;12/07/2020;;;;
Quirk, Bill;09/01/1946;D;20;CC;W;1;0;0;0;0;;12/07/2020;;;;
Gray, Adam;;D;21;;W;1;0;0;0;0;;12/07/2020;;;;
Mullin, Kevin;06/15/1970;D;22;CC-M;W;1;0;0;0;0;Speaker Pro Tempore;12/07/2020;;;;
Patterson, Jim;02/18/1948;R;23;M;W;1;0;0;0;0;;12/07/2020;;;;
Berman, Marc;10/31/1980;D;24;CC;W;1;0;0;0;0;;12/07/2020;;;;
Lee, Alex;07/11/1995;D;25;;A;0;0;0;1;0;;12/07/2020;;;;
Mathis, Devon;09/21/1982;R;26;;W;1;0;0;0;0;;12/07/2020;;;;
Kalra, Ash;01/21/1972;D;27;CC;A;0;0;0;1;0;;12/07/2020;;;;
Low, Evan;06/05/1983;D;28;CC - M;A;0;0;0;1;0;;12/07/2020;;;;
Stone, Mark;06/17/1957;D;29;CC;W;1;0;0;0;0;;12/07/2020;;;;
Rivas, Robert;01/02/1980;D;30;CC;?;?;?;0;0;0;;12/07/2020;;;;
Arambula, Joaquin;17/05/1977;D;31;;H;0;1;0;0;0;;12/07/2020;;;;
Salas, Rudy;03/12/1977;D;32;CC;H;0;1;0;0;0;;12/07/2020;;;;
Smith, Thurston;03/09/1958;R;33;;W;1;0;0;0;0;;12/07/2020;;;;
Fong, Vince;10/24/1979;R;34;;?;?;0;0;?;0;;12/07/2020;;;;
Cunningham, Jordan;12/06/1977;R;35;;W;1;0;0;0;0;;12/07/2020;;;;
Lackey, Tom;03/12/1959;R;36;CC;W;1;0;0;0;0;;12/07/2020;;;;
Bennett, Steve;;D;37;;W;1;0;0;0;0;;12/07/2020;;;;
Martinez Valladares, Suzette;12/21/1980;R;38;;H;0;1;0;0;1;;12/07/2020;;;;
Rivas, Luz;02/06/1974;D;39;;?;?;?;0;0;1;;12/07/2020;;;;
Ramos, James;01/29/1967;D;40;CC;A;0;0;0;1;0;;12/07/2020;;;;
Holden, Chris;07/19/1960;D;41;CC - M;B;0;0;1;0;0;;12/07/2020;;;;
Mayes, Chad;04/23/1977;I;42;CC;W;1;0;0;0;0;;12/07/2020;;;;
Friedman, Laura;12/03/1966;D;43;CC - M;W;1;0;0;0;1;;12/07/2020;;;;
Irwin, Jacqui;01/03/1962;D;44;CC - M;W;1;0;0;0;1;;12/07/2020;;;;
Gabriel, Jesse;09/25/1981;D;45;;W;1;0;0;0;0;;12/07/2020;;;;
Nazarian, Adrin;03/19/1973;D;46;;A;0;0;0;1;0;;12/07/2020;;;;
Gomez Reyes, Eloise;27/01/1956;D;47;;H;0;1;0;0;1;;12/07/2020;;;;
Rubio, Blanca;09/15/1969;D;48;;H;0;1;0;0;1;;12/07/2020;;;;
Chau, Edwin;09/17/1957;D;49;;A;0;0;0;1;0;;12/07/2020;;;;
Bloom, Richard;06/22/1953;D;50;CC - M;W;1;0;0;0;0;;12/07/2020;;;;
Carrillo, Wendy;08/10/1980;D;51;;H;0;1;0;0;1;;12/07/2020;;;;
Rodriguez, Freddie;09/08/1965;D;52;CC;H;0;1;0;0;0;;12/07/2020;;;;
Santiago, Miguel;03/03/1973;D;53;;H;0;1;0;0;0;;12/07/2020;;;;
Kamlager, Sydney;07/20/1972;D;54;;B;0;0;1;0;1;;12/07/2020;;;;
Chen, Phillip;04/22/1978;R;55;;A;0;0;0;1;0;;12/07/2020;;;;
Garcia, Eduardo;02/04/1977;D;56;CC - M;H;0;1;0;0;0;;12/07/2020;;;;
Calderon, Lisa;01/25/1965;D;57;;H;0;1;0;0;1;;12/07/2020;;;;
Garcia, Cristina;08/22/1977;D;58;;H;0;1;0;0;1;;12/07/2020;;;;
Jones-Sawyer, Reginald;01/14/1957;D;59;;B;0;0;1;0;0;;12/07/2020;;;;
Cervantes, Sabrina;10/24/1987;D;60;;H;0;1;0;0;1;;12/07/2020;;;;
Medina, Jose;03/29/1953;D;61;;H;0;1;0;0;0;;12/07/2020;;;;
Burke, Autumn;11/23/1973;D;62;;B;0;0;1;0;1;;12/07/2020;;;;
