Name;Birth;Party;District;Other terms;Race;White;Hispanic;Black;Asian;Female;Function;Beginning term;End of term;End Type;Exit;Next occupation
Achadjian, Katcho;06/02/1951;R;35;S-CC;A;0;0;0;1;0;;12/01/2014;11/30/2016;On time;Termed out;USR candidate
Alejo, Luis;03/27/1974;D;30;CC-M;H;0;1;0;0;0;;12/01/2014;11/30/2016;On time;Termed out;BS candidate
Allen, Travis;09/14/1973;R;72;;W;1;0;0;0;0;;12/01/2014;11/30/2016;On time;Reelection;Reelected
Arambula, Joaquin;17/05/1977;D;31;;H;0;1;0;0;0;;04/14/2016;11/30/2016;On time;Reelection;Reelected
Atkins, Toni;08/01/21962;D;78;CC;W;1;0;0;0;1;Majority Leader - Speaker;12/01/2014;11/30/2016;On time;Termed out;State Senate candidate
Baker, Catharine;05/01/1971;R;16;;W;1;0;0;0;1;;12/01/2014;11/30/2016;On time;Reelection;Reelected
Bigelow, Frank;07/22/1954;R;5;;W;1;0;0;0;0;;12/01/2014;11/30/2016;On time;Reelection;Reelected
Bloom, Richard;06/22/1953;D;50;CC - M;W;1;0;0;0;0;;12/01/2014;11/30/2016;On time;Reelection;Reelected
Bonilla, Susan;06/22/1960;D;14;CC-M;W;1;0;0;0;1;;12/01/2014;11/30/2016;On time;Termed out;State Senate candidate
Bonta, Rob;09/22/1972;D;18;CC;A;0;0;0;1;0;;12/01/2014;11/30/2016;On time;Reelection;Reelected
Brough, William;10/15/1966;R;73;CC;W;1;0;0;0;0;;12/01/2014;11/30/2016;On time;Reelection;Reelected
Brown, Cheryl;02/11/1944;D;47;;B;0;0;1;0;1;;12/01/2014;11/30/2016;On time;Reelection;Defeated
Burke, Autumn;11/23/1973;D;62;;B;0;0;1;0;1;;12/01/2014;11/30/2016;On time;Reelection;Reelected
Calderon, Ian Charles;10/19/1985;D;57;;W;1;0;0;0;0;Majority Leader;12/01/2014;11/30/2016;On time;Reelection;Reelected
Campos, Nora;06/15/1965;D;27;CC-S;H;0;1;0;0;1;;12/01/2014;11/30/2016;On time;Termed out;State Senate candidate
Chang, Ling-Ling;07/24/1976;R;55;CC;A;0;0;0;1;1;;12/01/2014;11/30/2016;On time;Not seek reelection;State Senate candidate
Chau, Edwin;09/17/1957;D;49;;A;0;0;0;1;0;;12/01/2014;11/30/2016;On time;Reelection;Reelected
Chavez, Rocky;05/12/1951;R;76;;H;0;1;0;0;0;;12/01/2014;11/30/2016;On time;Reelection;Reelected
Chiu, David;04/02/1970;D;17;CC;A;0;0;0;1;0;;12/01/2014;11/30/2016;On time;Reelection;Reelected
Chu, Kansen;10/27/1952;D;25;CC;A;0;0;0;1;0;;12/01/2014;11/30/2016;On time;Reelection;Reelected
Cooley, Ken;03/18/1953;D;8;CC - M;W;1;0;0;0;0;;12/01/2014;11/30/2016;On time;Reelection;Reelected
Cooper, Jim;01/05/1964;D;9;CC - M;B;0;0;1;0;0;;12/01/2014;11/30/2016;On time;Reelection;Reelected
Dababneh, Matt;02/20/1981;D;45;;W;1;0;0;0;0;;12/01/2014;11/30/2016;On time;Reelection;Reelected
Dahle, Brian;09/20/1965;R;1;CC;W;1;0;0;0;0;Minority Leader;12/01/2014;11/30/2016;On time;Reelection;Reelected
Daly, Tom;07/26/1954;D;69;CC - M;W;1;0;0;0;0;;12/01/2014;11/30/2016;On time;Reelection;Reelected
Dodd, Bill;06/10/1956;D;4;S-CC;W;1;0;0;0;0;;12/01/2014;11/30/2016;On time;Not seek reelection;State Senate candidate
Frazier, Jim;05/04/1959;D;11;CC - M;W;1;0;0;0;0;;12/01/2014;11/30/2016;On time;Reelection;Reelected
Gaines, Beth;09/17/1959;R;6;;W;1;0;0;0;1;;12/01/2014;11/30/2016;On time;Not seek reelection;
Gallagher, James;03/04/1981;R;3;CC;W;1;0;0;0;0;;12/01/2014;11/30/2016;On time;Reelection;Reelected
Garcia, Cristina;08/22/1977;D;58;;H;0;1;0;0;1;;12/01/2014;11/30/2016;On time;Reelection;Reelected
Garcia, Eduardo;02/04/1977;D;56;CC - M;H;0;1;0;0;0;;12/01/2014;11/30/2016;On time;Reelection;Reelected
Gatto, Mike;10/19/1974;D;43;;W;1;0;0;0;0;Assistant Speaker Pro Tempore;12/01/2014;11/30/2016;On time;Termed out;
Gipson, Mike;06/25/1966;D;64;CC;B;0;0;1;0;0;;12/01/2014;11/30/2016;On time;Reelection;Reelected
Gomez, Jimmy;11/25/1974;D;51;USR;H - A;0;1;0;1;0;;12/01/2014;11/30/2016;On time;Reelection;Reelected
Gonzalez Fletcher, Lorena;09/16/1971;D;80;;H;0;1;0;0;1;;12/01/2014;11/30/2016;On time;Reelection;Reelected
Gordon, Rich;07/03/1948;D;21;CC;W;1;0;0;0;0;;12/01/2014;11/30/2016;On time;Termed out;
Gray, Adam;;D;21;;W;1;0;0;0;0;;12/01/2014;11/30/2016;On time;Reelection;Reelected
Grove, Shannon;3/18/1965;R;34;S;W;1;0;0;0;1;;12/01/2014;11/30/2016;On time;Termed out;State Senate candidate
Hadley, David;11/14/1964;R;66;;W;1;0;0;0;0;;12/01/2014;11/30/2016;On time;Reelection;Defeated
Harper, Matthew;06/27/1974;R;74;CC - M;W;1;0;0;0;0;;12/01/2014;11/30/2016;On time;Reelection;Reelected
Hernandez, Roger;07/29/1975;D;48;CC-M;W;1;0;0;0;0;;12/01/2014;11/30/2016;On time;Termed out;USR candidate
Holden, Chris;07/19/1960;D;41;CC - M;B;0;0;1;0;0;;12/01/2014;11/30/2016;On time;Reelection;Reelected
Irwin, Jacqui;01/03/1962;D;44;CC - M;W;1;0;0;0;1;;12/01/2014;11/30/2016;On time;Reelection;Reelected
Jones-Sawyer, Reginald;01/14/1957;D;59;;B;0;0;1;0;0;;12/01/2014;11/30/2016;On time;Reelection;Reelected
Kim, Young;10/18/1962;R;65;USR;A;0;0;0;1;1;;12/01/2014;11/30/2016;On time;Reelection;Defeated
Lackey, Tom;03/12/1959;R;36;CC;W;1;0;0;0;0;;12/01/2014;11/30/2016;On time;Reelection;Reelected
Levine, Marc;04/26/1974;D;10;CC;W;1;0;0;0;0;;12/01/2014;11/30/2016;On time;Reelection;Reelected
Linder, Eric;10/09/1978;R;60;;W;1;0;0;0;0;;12/01/2014;11/30/2016;On time;Reelection;Defeated
Lopez, Patty;01/15/1968;D;39;;H;0;1;0;0;1;;12/01/2014;11/30/2016;On time;Not seek reelection;
Low, Evan;06/05/1983;D;28;CC - M;A;0;0;0;1;0;;12/01/2014;11/30/2016;On time;Reelection;Reelected
Maienschein, Brian;05/22/1969;D;77;CC;W;1;0;0;0;0;;12/01/2014;11/30/2016;On time;Reelection;Reelected
Mathis, Devon;09/21/1982;R;26;;W;1;0;0;0;0;;12/01/2014;11/30/2016;On time;Reelection;Reelected
Mayes, Chad;04/23/1977;I;42;CC;W;1;0;0;0;0;Minority Leader;12/01/2014;11/30/2016;On time;Reelection;Reelected
McCarty, Kevin;01/06/1972;D;7;CC;W;1;0;0;0;0;;12/01/2014;11/30/2016;On time;Reelection;Reelected
Medina, Jose;03/29/1953;D;61;;H;0;1;0;0;0;;12/01/2014;11/30/2016;On time;Reelection;Reelected
Melendez, Melissa;2/17/1968;R;67;S - CC - M;W;1;0;0;0;1;;12/01/2014;11/30/2016;On time;Reelection;Reelected
Mullin, Kevin;06/15/1970;D;22;CC-M;W;1;0;0;0;0;Speaker Pro Tempore;12/01/2014;11/30/2016;On time;Reelection;Reelected
Nazarian, Adrin;03/19/1973;D;46;;A;0;0;0;1;0;;12/01/2014;11/30/2016;On time;Reelection;Reelected
Obernolte, Jay;08/18/1970;R;33;CC - USR;W;1;0;0;0;0;;12/01/2014;11/30/2016;On time;Reelection;Reelected
O'Donnell, Patrick;02/25/1966;D;70;CC;W;1;0;0;0;0;;12/01/2014;11/30/2016;On time;Reelection;Reelected
Olsen, Kristen;01/19/2974;R;12;CC;W;1;0;0;0;1;Minority Leader;12/01/2014;11/30/2016;On time;Termed out;Board of Supervisors
P. Wagner, Donald;12/03/1960;R;68;CC-M;W;1;0;0;0;0;;12/01/2014;11/30/2016;On time;Termed out;M candidate
Patterson, Jim;02/18/1948;R;23;M;W;1;0;0;0;0;;12/01/2014;11/30/2016;On time;Reelection;Reelected
Quirk, Bill;09/01/1946;D;20;CC;W;1;0;0;0;0;;12/01/2014;11/30/2016;On time;Reelection;Reelected
Rendon, Anthony;03/04/1968;D;63;;H;0;1;0;0;0;Speaker;12/01/2014;11/30/2016;On time;Reelection;Reelected
Ridley-Thomas, Sebastian;08/12/1987;D;54;;B;0;0;1;0;0;;12/01/2014;11/30/2016;On time;Reelection;Reelected
Rodriguez, Freddie;09/08/1965;D;52;CC;H;0;1;0;0;0;;12/01/2014;11/30/2016;On time;Reelection;Reelected
Salas, Rudy;03/12/1977;D;32;CC;H;0;1;0;0;0;;12/01/2014;11/30/2016;On time;Reelection;Reelected
Santiago, Miguel;03/03/1973;D;53;;H;0;1;0;0;0;;12/01/2014;11/30/2016;On time;Reelection;Reelected
Steinorth, Marc;05/19/1970;R;40;CC;W;1;0;0;0;0;;12/01/2014;11/30/2016;On time;Reelection;Reelected
Stone, Mark;06/17/1957;D;29;CC;W;1;0;0;0;0;;12/01/2014;11/30/2016;On time;Reelection;Reelected
T. Perea, Henry;06/29/1977;D;31;CC;W;1;0;0;0;0;;12/01/2014;12/31/2015;Early;Resignation;Lobbyist
Talamantes Eggman, Susan;03/03/1961;D;13;S;H;0;1;0;0;1;;12/01/2014;11/30/2016;On time;Reelection;Reelected
Thurmond, Tony;08/21/1968;D;15;CC;B-H;0;1;1;0;0;;12/01/2014;11/30/2016;On time;Reelection;Reelected
Ting, Phil;02/09/1969;D;19;;A;0;0;0;1;0;;12/01/2014;11/30/2016;On time;Reelection;Reelected
W. Jones, Brian;08/09/1968;R;71;CC-S;W;1;0;0;0;0;;12/01/2014;11/30/2016;On time;Termed out;State Senate candidate
Waldron, Marie;03/28/2018;R;75;CC;W;1;0;0;0;1;;12/01/2014;11/30/2016;On time;Reelection;Reelected
Weber, Shirley;09/20/1948;D;79;;B;0;0;1;0;1;Secretary of State;12/01/2014;11/30/2016;On time;Reelection;Reelected
Wilk, Scott;3/16/1959;R;38;S;W;1;0;0;0;0;;12/01/2014;11/30/2016;On time;Not seek reelection;State Senate candidate
Williams, Das;6/29/1974;D;37;CC;W;1;0;0;0;0;;12/01/2014;11/30/2016;On time;Termed out;
Wood, Jim;04/10/1960;D;2;M - CC;W;1;0;0;0;0;;12/01/2014;11/30/2016;On time;Reelection;Reelected
