Term,Beginning,Ending
1979,01/03/1979,01/02/1981
1981,01/03/1981,01/02/1983
1983,01/03/1983,01/02/1985
1985,01/03/1985,01/02/1987
1987,01/03/1987,01/02/1989
1989,01/03/1989,01/02/1991
1991,01/03/1991,01/02/1993
1993,01/03/1993,01/02/1995
1995,01/03/1995,01/02/1997
1997,01/03/1997,01/02/1999
1999,01/03/1999,01/02/2001
2001,01/03/2001,01/02/2003
2003,01/03/2003,01/02/2005
2005,01/03/2005,01/02/2007
2007,01/03/2007,01/02/2009
2009,01/03/2009,01/02/2011
2011,01/03/2011,01/02/2013
2013,01/03/2013,01/02/2015
2015,01/03/2015,01/02/2017
2017,01/03/2017,01/02/2019
2019,01/03/2019,01/02/2021
2021,01/03/2021,NA
