Name;Birth;Party;District;Other terms;Race;White;Hispanic;Black;Asian;Female;Function;Beginning term;End of term;End Type;Exit;Next occupation
Ackerman, Dick;12/05/1942;R;72;;W;1;0;0;0;0;;12/02/1996;11/30/1998;On time;Reelection;Reelected
Aguiar, Fred;12/03/1948;R;61;;H;0;1;0;0;0;;12/02/1996;11/30/1998;On time;Termed out;BS candidate
Alby, Barbara;08/09/1946;R;5;;W;1;0;0;0;1;;12/02/1996;11/30/1998;On time;Termed out;USR candidate
Alquist, Elaine White;08/21/1944;D;22;;W;1;0;0;0;1;;12/02/1996;11/30/1998;On time;Reelection;Reelected
Aroner, Dion Louise;06/06/1945;D;14;;W;1;0;0;0;1;;12/02/1996;11/30/1998;On time;Reelection;Reelected
Ashburn, Roy;03/21/1954;R;32;;W;1;0;0;0;0;;12/02/1996;11/30/1998;On time;Reelection;Reelected
Baca, Joe;01/23/1947;D;62;;H;0;1;0;0;0;;12/02/1996;11/30/1998;On time;Termed out;State Senate candidate
Baldwin, Steve;06/16/1956;R;77;;W;1;0;0;0;0;;12/02/1996;11/30/1998;On time;Reelection;Reelected
Battin, Jim;07/28/1962;R;80;;W;1;0;0;0;0;;12/02/1996;11/30/1998;On time;Reelection;Reelected
Baugh, Scott;07/04/1962;R;67;;W;1;0;0;0;0;;12/02/1996;11/30/1998;On time;Reelection;Reelected
Bordonaro, Tom Jr.;03/22/1959;R;33;;W;1;0;0;0;0;;12/02/1996;11/30/1998;On time;Not seek reelection;USR candidate
Bowen, Debra;10/27/1955;D;53;;W;1;0;0;0;1;;12/02/1996;11/30/1998;On time;Termed out;State Senate candidate
Bowler, Larry;07/30/1939;R;10;;W;1;0;0;0;0;;12/02/1996;11/30/1998;On time;Termed out;
Brewer, Marilyn C.;05/26/1937;R;70;;W;1;0;0;0;1;;12/02/1996;11/30/1998;On time;Reelection;Reelected
Brown, Valerie;10/30/1954;D;7;;W;1;0;0;0;1;;12/02/1996;11/30/1998;On time;Termed out;BS candidate
Bustamante, Cruz M.;01/04/1953;D;31;;H;0;1;0;0;0;;12/05/1996;11/30/1998;On time;Termed out;Lieutenant Governor
Caldera, Louis;04/01/1956;D;46;;H;0;1;0;0;0;;12/05/1996;09/02/1997;Early;Federal candidate;US Secretary of the Army
Campbell, Bill;04/08/1942;R;71;;W;1;0;0;0;0;;12/02/1996;11/30/1998;On time;Reelection;Reelected
Cardenas, Tony;03/31/1963;D;39;;H;0;1;0;0;0;;12/02/1996;11/30/1998;On time;Reelection;Reelected
Cardoza, Dennis;3/31/1959;D;26;;W;1;0;0;0;0;;12/02/1996;11/30/1998;On time;Reelection;Reelected
"Cunneen, James F. ""Jim""";05/24/1961;R;24;;W;1;0;0;0;0;;12/05/1996;11/30/1998;On time;Reelection;Reelected
Davis, Susan A.;04/13/1944;D;76;;W;1;0;0;0;1;;12/05/1996;11/30/1998;On time;Reelection;Reelected
Ducheny, Denise Moreno;03/21/1952;D;79;;H;0;1;0;0;1;;12/02/1996;11/30/1998;On time;Reelection;Reelected
Escutia, Martha M.;01/16/1957;D;50;;H;0;1;0;0;1;;12/05/1996;11/30/1998;On time;Termed out;State Senate candidate
Figueroa, Liz;02/09/1951;D;20;;H;0;1;0;0;1;;12/02/1996;11/30/1998;On time;Not seek reelection;State Senate candidate
Firestone, Brooks;06/18/1939;R;35;;W;1;0;0;0;0;;12/05/1996;11/30/1998;On time;Not seek reelection;USR candidate
"Floyd, Richard E. ""Dick""";02/03/1931;D;55;;W;1;0;0;0;0;;12/05/1996;11/30/1998;On time;Reelection;Reelected
Frusetta, Peter;07/06/1932;R;28;;W;1;0;0;0;0;;12/05/1996;11/30/1998;On time;Reelection;Reelected
Gallegos, Martin;11/03/1956;D;57;;H;0;1;0;0;0;;12/05/1996;11/30/1998;On time;Reelection;Reelected
Goldsmith, Jan;01/26/1951;R;75;;W;1;0;0;0;0;;12/05/1996;11/30/1998;On time;Termed out;Judge
Granlund, Brett;05/28/1954;R;65;;W;1;0;0;0;0;;12/05/1996;11/30/1998;On time;Reelection;Reelected
Havice, Sally;10/16/1937;D;56;;H;0;1;0;0;1;;12/05/1996;11/30/1998;On time;Reelection;Reelected
Hertzberg, Bob;11/19/1954;D;40;;W;1;0;0;0;0;;12/02/1996;11/30/1998;On time;Reelection;Reelected
