Name;Birth;Party;District;Other terms;Race;White;Hispanic;Black;Asian;Female;Function;Beginning term;End of term;End Type;Exit;Next occupation
Statham, Stan;04/07/1939;R;1;;W;1;0;0;0;0;;12/05/1980;11/30/1982;On time;Reelection;Reelected
Bosco, Douglas H.;07/28/1946;D;2;;W;1;0;0;0;0;;12/01/1980;11/30/1982;On time;Not seek reelection;USR candidate
Herger, Wally;05/20/1945;R;3;;W;1;0;0;0;0;;12/05/1980;11/30/1982;On time;Reelection;Reelected
Hannigan, Thomas M.;05/30/1940;D;4;;W;1;0;0;0;0;;12/05/1980;11/30/1982;On time;Reelection;Reelected
Duffy, Jean Moorehead;12/17/1938;R;5;;W;1;0;0;0;1;;12/05/1980;11/30/1982;On time;Reelection;Reelected
Greene, Leroy F.;01/31/1918;D;6;;W;1;0;0;0;0;;12/06/1980;11/30/1982;On time;Not seek reelection;State Senate candidate
Waters, Norman S.;07/01/1925;D;7;;W;1;0;0;0;0;;12/05/1980;11/30/1982;On time;Reelection;Reelected
Sebastiani, Don;02/15/1953;R;8;;W;1;0;0;0;0;;12/05/1980;11/30/1982;On time;Reelection;Reelected
"Filante, William J. ""Bill""";10/22/1929;R;9;;W;1;0;0;0;0;;12/05/1980;11/30/1982;On time;Reelection;Reelected
Baker, William P. (Bill);06/14/1940;R;10;;W;1;0;0;0;0;;12/01/1980;11/30/1982;On time;Reelection;Reelected
"Campbell, Robert J. ""Bob""";12/20/1937;D;11;;W;1;0;0;0;0;;12/05/1980;11/30/1982;On time;Reelection;Reelected
Bates, Tom;02/09/1938;D;12;;W;1;0;0;0;0;;12/01/1980;11/30/1982;On time;Reelection;Reelected
Harris, Elihu M.;08/15/1947;D;13;;B;0;0;1;0;0;;12/05/1980;11/30/1982;On time;Reelection;Reelected
Lockyer, Bill;05/08/1941;D;14;;W;1;0;0;0;0;;12/05/1980;11/30/1982;On time;Not seek reelection;USR candidate
"Marguth, Gilbert R. Jr. ""Gib""";03/04/1934;R;15;;W;1;0;0;0;0;;12/05/1980;11/30/1982;On time;Reelection;Defeated
Agnos, Art;09/01/1938;D;16;;W;1;0;0;0;0;;12/01/1980;11/30/1982;On time;Reelection;Reelected
Brown, Willie L. Jr.;03/20/1934;D;17;;B;0;0;1;0;0;;12/05/1980;11/30/1982;On time;Reelection;Reelected
McCarthy, Leo T.;08/15/1930;D;18;;W;1;0;0;0;0;;12/05/1980;11/30/1982;On time;Not seek reelection;Executive candidate
Papan, Louis;08/02/1928;D;19;;W;1;0;0;0;0;;12/05/1980;11/30/1982;On time;Reelection;Reelected
Naylor, Robert W.;01/21/1944;R;20;;W;1;0;0;0;0;;12/05/1980;11/30/1982;On time;Reelection;Reelected
Sher, Byron;02/07/1928;D;21;;W;1;0;0;0;0;;12/01/1980;11/30/1982;On time;Reelection;Reelected
Konnyu, Ernest L.;05/17/1937;R;22;;W;1;0;0;0;0;;12/05/1980;11/30/1982;On time;Reelection;Reelected
Vasconcellos, John;05/11/1932;D;23;;H;0;1;0;0;0;;12/01/1980;11/30/1982;On time;Reelection;Reelected
"Cortese, Dominic L. ""Dom""";09/27/1932;D;24;;W;1;0;0;0;0;;12/05/1980;11/30/1982;On time;Reelection;Reelected
McAlister, Alister;11/10/1929;D;25;;W;1;0;0;0;0;;12/05/1980;11/30/1982;On time;Reelection;Reelected
