Name;Birth;Party;District;Other terms;Race;White;Hispanic;Black;Asian;Female;Function;Beginning term;End of term;End Type;Exit;Next occupation
Adams, Anthony;02/27/1971;R;59;;W;1;0;0;0;0;;12/01/2008;11/30/2010;On time;Not seek reelection;USR candidate
Ammiano, Tom;12/15/1941;D;13;CC;W;1;0;0;0;0;;12/01/2008;11/30/2010;On time;Reelection;Reelected
Anderson, Joel;02/11/1960;R;77;CC-S;W;1;0;0;0;0;;12/01/2008;11/30/2010;On time;Not seek reelection;State Senate candidate
Arambula, Juan;01/29/1952;D;31;CC;H;0;1;0;0;0;;12/01/2008;11/30/2010;On time;Termed out;Public Service
Bass, Karen;10/03/1953;D;47;USR;B;0;0;1;0;1;Speaker;12/01/2008;11/30/2010;On time;Termed out;USR candidate
Beall, Jim Jr.;12/07/1951;D;24;S-CC;W;1;0;0;0;0;;12/01/2008;11/30/2010;On time;Reelection;Reelected
Berryhill, Bill;;R;26;;W;1;0;0;0;0;;12/01/2008;11/30/2010;On time;Reelection;Reelected
Berryhill, Tom;08/27/1953;R;25;CC-S;W;1;0;0;0;0;;12/01/2008;11/30/2010;On time;Not seek reelection;State Senate candidate
Blakeslee, Sam;06/25/1955;R;33;S;W;1;0;0;0;0;Minority Leader;12/01/2008;02/01/2010;Early;Legislative campaign;State Senate candidate
Block, Martin;06/28/1950;D;78;S;W;1;0;0;0;0;;12/01/2008;11/30/2010;On time;Reelection;Reelected
Blumenfield, Bob;09/13/1967;D;40;CC;W;1;0;0;0;0;;12/01/2008;11/30/2010;On time;Reelection;Reelected
Bradfordn Steven;01/12/1960;D;51;S-CC;B;0;0;1;0;0;;12/01/2008;11/30/2010;On time;Reelection;Reelected
Brownley, Julia;08/28/1952;D;41;USR;W;1;0;0;0;1;;12/01/2008;11/30/2010;On time;Reelection;Reelected
Buchanan, Joan;10/04/1952;D;15;;W;1;0;0;0;1;;12/01/2008;11/30/2010;On time;Reelection;Reelected
Caballero, Anna M.;04/18/1955;D;28;S;H;0;1;0;0;1;;12/01/2008;11/30/2010;On time;Not seek reelection;State Senate candidate
Calderon, Charles M.;03/12/1950;D;58;S;H;0;1;0;0;0;Majority Leader;12/01/2008;11/30/2010;On time;Reelection;Reelected
Carter, Wilmer Amina;07/19/1941;D;62;;B;0;0;1;0;1;;12/01/2008;11/30/2010;On time;Reelection;Reelected
Chesbro, Wesley;08/20/1951;D;1;S-CC;W;1;0;0;0;0;;12/01/2008;11/30/2010;On time;Reelection;Reelected
Conway, Connie;09/25/1950;R;34;CC;W;1;0;0;0;1;Minority Leader;12/01/2008;11/30/2010;On time;Reelection;Reelected
Cook, Paul;03/03/1943;R;65;CC-USR;W;1;0;0;0;0;;12/01/2008;11/30/2010;On time;Reelection;Reelected
Coto, Joe;1939;D;23;;H;0;1;0;0;0;;12/01/2008;11/30/2010;On time;Termed out;State Senate candidate
Davis, Mike;1957;D;48;;B;0;0;1;0;0;;12/01/2008;11/30/2010;On time;Reelection;Reelected
De La Torre, Hector;;D;50;CC-M;H;0;1;0;0;0;;12/01/2008;11/30/2010;On time;Termed out;California Air Resources Board
De Leon, Kevin;12/10/1966;D;45;CC-S;H;0;1;0;0;0;;12/01/2008;11/30/2010;On time;Not seek reelection;State Senate candidate
DeVore, Chuck;05/20/1962;R;70;;W;1;0;0;0;0;;12/01/2008;11/30/2010;On time;Termed out;US Senate candidate
Duvall, Michael D.;06/14/1955;R;72;CC-M;W;1;0;0;0;0;;12/01/2008;09/09/2009;Early;Resignation;
Emmerson, Bill;10/28/1945;R;63;S;W;1;0;0;0;0;;12/01/2008;06/09/2010;Early;Legislative campaign;State Senate candidate
