Name;Birth;Party;District;Other terms;Race;White;Hispanic;Black;Asian;Female;Function;Beginning term;End of term;End Type;Exit;Next occupation
Achadjian, Katcho;06/02/1951;R;35;S-CC;A;0;0;0;1;0;;12/03/2012;11/30/2014;On time;Reelection;Reelected
Alejo, Luis;03/27/1974;D;30;CC-M;H;0;1;0;0;0;;12/03/2012;11/30/2014;On time;Reelection;Reelected
Allen, Travis;09/14/1973;R;72;;W;1;0;0;0;0;;12/03/2012;11/30/2014;On time;Reelection;Reelected
Ammiano, Tom;12/15/1941;D;17;CC;W;1;0;0;0;0;;12/03/2012;11/30/2014;On time;Termed out;
Atkins, Toni;08/01/21962;D;78;CC;W;1;0;0;0;1;Majority Leader - Speaker;12/03/2012;11/30/2014;On time;Reelection;Reelected
Bigelow, Frank;07/22/1954;R;5;;W;1;0;0;0;0;;12/03/2012;11/30/2014;On time;Reelection;Reelected
Bloom, Richard;06/22/1953;D;50;CC - M;W;1;0;0;0;0;;12/03/2012;11/30/2014;On time;Reelection;Reelected
Blumenfield, Bob;09/13/1967;D;45;CC;W;1;0;0;0;0;;12/03/2012;07/01/2013;Early;Local campaign;CC candidate
Bocanegra, Raul;07/13/1971;D;39;;W;1;0;0;0;0;;12/03/2012;11/30/2014;On time;Reelection;Defeated
Bonilla, Susan;06/22/1960;D;14;CC-M;W;1;0;0;0;1;;12/03/2012;11/30/2014;On time;Reelection;Reelected
Bonta, Rob;09/22/1972;D;18;CC;A;0;0;0;1;0;;12/03/2012;11/30/2014;On time;Reelection;Reelected
Bradford, Steven;01/12/1960;D;62;S-CC;B;0;0;1;0;0;;12/03/2012;11/30/2014;On time;Termed out;State Senate candidate
Brown, Cheryl;02/11/1944;D;47;;B;0;0;1;0;1;;12/03/2012;11/30/2014;On time;Reelection;Reelected
Buchanan, Joan;10/04/1952;D;16;;W;1;0;0;0;1;;12/03/2012;11/30/2014;On time;Termed out;State Senate candidate
Calderon, Ian Charles;10/19/1985;D;57;;W;1;0;0;0;0;Majority Leader;12/03/2012;11/30/2014;On time;Reelection;Reelected
Campos, Nora;06/15/1965;D;27;CC-S;H;0;1;0;0;1;;12/03/2012;11/30/2014;On time;Reelection;Reelected
Chau, Edwin;09/17/1957;D;49;;A;0;0;0;1;0;;12/03/2012;11/30/2014;On time;Reelection;Reelected
Chavez, Rocky;05/12/1951;R;76;;H;0;1;0;0;0;;12/03/2012;11/30/2014;On time;Reelection;Reelected
Chesbro, Wesley;08/20/1951;D;2;S-CC;W;1;0;0;0;0;;12/03/2012;11/30/2014;On time;Termed out;
Conway, Connie;09/25/1950;R;26;CC;W;1;0;0;0;1;Minority Leader;12/03/2012;11/30/2014;On time;Termed out;
Cooley, Ken;03/18/1953;D;8;CC - M;W;1;0;0;0;0;;12/03/2012;11/30/2014;On time;Reelection;Reelected
Dahle, Brian;09/20/1965;R;1;CC;W;1;0;0;0;0;Minority Leader;12/03/2012;11/30/2014;On time;Reelection;Reelected
Daly, Tom;07/26/1954;D;69;CC - M;W;1;0;0;0;0;;12/03/2012;11/30/2014;On time;Reelection;Reelected
Dickinson, Roger;09/22/1950;D;7;CC;W;1;0;0;0;0;;12/03/2012;11/30/2014;On time;Not seek reelection;State Senate candidate
